driver,team,winner,top3,top6,top10,flap,dnf
Hamilton,Mercedes,2.88,1.33,1.22,1.17,3,7.5
Verstappen,Red Bull,2.44,1.3,1.22,1.18,2.88,6.5
Bottas,Mercedes,6.6,1.4,1.28,1.2,5,5
Perez,Red Bull,20,3.25,1.33,1.22,9,5.5
Ricciardo,McLaren,151,17,3.75,1.44,51,5.5
Leclerc,Ferrari,67,5,1.73,1.33,26,6
Vettel,Aston Martin,751,151,21,2.88,151,5
Alonso,Alpine,230,17,3.25,1.5,201,4.5
Sainz,Ferrari,101,5.5,1.8,1.36,51,5.5
Stroll,Aston Martin,1001,151,26,3.5,251,3.75
Norris,McLaren,81,6,1.73,1.36,26,6
Gasly,Alphatauri,101,13,2.75,1.36,67,5
Ocon,Alpine,201,17,3.25,1.5,301,4.33
Raikkonen,Alfa Romeo,501,151,26,2.62,301,4.5
Tsunoda,Alphatauri,251,101,9,3,101,3.75
Giovinazzi,Alfa Romeo,501,151,26,2.75,301,4.5
Latifi,Williams,5001,1001,501,21,301,4.33
Russell,Williams,1001,251,41,5,67,4.5
Schumacher,Haas,3001,401,201,26,126,3.75
Mazepin,Haas,3001,1001,501,51,301,3
